TILEMAP
36 28 							-- Size of tile map in tiles
16 16 							-- Tile size & block size
images/LavaTileset.png 	-- Tilesheet
8 26 								-- Number of tiles in tilesheet
41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,36,
41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,196, ,
41,41,36,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,50, , ,
41,196, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
196, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
 , , , , , , , , , , , , , , , , , , , , , , , , ,32,33,33,80,80,80,34, , , , ,
 , , , , , , , , , , , , , , , , , , , , ,32,34, , ,40,41,41,41,41,41,42, , , , ,
 , , , , , , , , , , , , , , , , ,32,34, , ,40,42, , ,40,41,41,41,41,41,42, , , , ,
 , , , ,32,33,33,33,33,33,34, , ,32,34, , ,40,42, , ,40,42, , ,40,41,41,41,41,41,42, , , , ,
 , , , ,40,41,41,41,41,41,42, , ,40,42, , ,40,42, , ,40,42, , ,40,41,41,41,41,41,42, , , , ,
 , , , ,40,41,41,41,41,41,44,33,33,45,44,33,33,45,44,33,33,45,44,33,33,45,41,41,41,41,41,42, , , , ,
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
193,193,193,193,193,193,193,193,193,193,196,201,201,197,196,201,201,197,196,201,201,197,196,201,201,197,193,193,193,193,193,193,193,193,193,193,
193,193,193,193,193,193,193,193,193,193,194, , ,192,194, , ,192,194, , ,200,202, , ,192,193,193,193,193,193,193,193,193,193,193,
193,193,193,193,193,193,193,193,193,193,194, , ,192,194, , ,200,202, , , , , , ,192,193,193,193,193,193,193,193,193,193,193,
193,193,193,193,193,193,193,193,193,193,194, , ,200,202, , , , , , , , , , ,192,193,193,193,193,193,193,193,193,193,193,
193,193,193,193,193,193,193,196,201,201,202, , , , , , , , , , , , , , ,192,193,193,193,193,193,193,193,193,193,193,
193,193,193,193,193,193,193,194, , , , , , , , , , , , , , , , , ,192,193,193,193,193,193,193,193,193,193,193,
193,193,193,193,193,193,193,194, , , , , , , , , , , , , , , , , ,192,193,193,193,193,193,193,193,193,193,193,
193,193,193,193,193,193,193,194, , , , , , , , , , , , , , , , , ,192,193,193,193,193,193,193,193,193,193,193,
193,193,193,193,193,193,193,194, , , , , , , , , , , , , , , , , ,200,201,201,152,152,152,197,193,193,193,193,
193,193,193,193,193,193,193,194, , , , , , , , , , , , , , , , , , , , , , , ,192,193,193,193,193,
201,201,201,201,201,201,201,202, , , , , , , , , , , , , , , , , , , , , , , ,192,193,193,193,193,
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,192,193,193,193,193,
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,192,193,193,193,193,

